,,Rudy Carpenter,Arizona State,So,"Draft (21, 2006)"
,RB,Albert Young,Iowa,Jr.,FA (Wk 1 2005)
,,Arian Foster,Tennessee,So.,Trade w/Mike 7-3-06
,,Javon Ringer,Michigan State,So,FA (Wk 2 2005)
,,Tyrone Moss,Miami,Sr,Trade w/Mike 7-3-06
,,P.J. Hill,Wisconsin,R-Fr,"Draft (3, 2006)"
,,Chauncey Washington,USC,Jr.,"Draft (29, 2006)"
,,Charlie Jones,Miami,Jr.,"Draft (37, 2006)"
,WR,Steve Breaston,Michigan  ,Sr,"FA (Wk.12, 2004)"
,,Chansi Stuckey,Clemson,Sr,FA (Wk 11 2005)
,,Jarrett Hicks,Texas Tech,Sr,"Draft (19th, 2004)"
,,Derrick Williams,Penn State,So,"Draft (14th, 2005)"
,,Dallas Baker,Florida ,Sr,"Draft (45, 2006)"
,,James Finley,Oregon,Sr,"Draft (61, 2006)"
,TE,Matt Herian,Nebraska,Sr,"Draft (53, 2006)"
,K,Brandon Pace,Virginia Tech,Sr,"Draft (65, 2006)"
,D,Wisconsin,Wisconsin,,"Draft (67, 2006)"
Simon's,QB,Alex Brink,Washington State,Jr.,"FA (Wk.2, 2005)"
Gators,,Chris Leak,Florida,Sr,"Draft (4th, 2003)"
,,Stephen McGee,Texas A&M,So,"FA (Wk.7, 2005)"
,,Xavier Lee,Florida State,So,"FA (Wk.11, 2004)"
,,Tim Tebow,Florida,Fr,"Draft (4, 2006)"
,,Chris Todd,Texas Tech,R-Fr,"Draft (14, 2006)"
,,Nate Longshore,California,So,"Draft (54, 2006)"
,RB,Lance Ball,Maryland,Jr,"FA (Wk.5, 2005)"
,,Antone Smith,Florida State,So,Trade w/Mike 6-30-06
,,Yvenson Bernard,Oregon State,Jr,"Draft (58th, 2005)"
,,Michael Hart,Michigan,Jr.,"FA (Wk.3, 2004)"
,,DeMaundray Woolridge,Washington State,So.,"FA (Wk.9, 2005)"
,,Jonathan Stewart,Oregon   ,So.,"Draft (5th, 2005)"
